Date,Open,High,Low,Close,Adj Close,Volume,Dollar
03-01-2005,84.937508,85.162506,83.880005,84.847504,70.815315,3814488,44.1
04-01-2005,84.937508,85.500008,81.562508,84.268127,70.331779,3809146,44.1
05-01-2005,83.700005,83.700005,78.862503,79.571251,66.411659,13460968,44.1
06-01-2005,79.537506,80.437508,77.0625,77.557503,64.730949,12063199,44.1
07-01-2005,77.625,78.975006,77.304375,78.721878,65.702766,6582053,44.1
10-01-2005,79.278755,79.278755,75.825005,76.275002,63.660557,4436026,44.1
11-01-2005,76.275002,77.152504,75.375,76.03875,63.463383,7184684,44.1
12-01-2005,76.5,77.827499,72.585007,73.800003,61.594868,9123403,44.1
13-01-2005,73.800003,77.512505,73.800003,75.465004,62.984516,7204719,44.1
14-01-2005,72.112503,75.678757,72.112503,74.767502,62.402367,5727697,44.1
17-01-2005,75.487503,76.927505,73.125,75.954376,63.392952,5377101,44.1
18-01-2005,76.5,77.501251,75.375,76.736252,64.045525,7407955,44.1
19-01-2005,78.1875,78.1875,76.561874,77.416878,64.613594,3734479,44.1
20-01-2005,76.5,76.837502,74.925003,75.898125,63.346008,3906648,44.1
24-01-2005,76.162506,76.387505,72.450005,72.877502,60.824932,8299190,44.1
25-01-2005,72.5625,74.182503,68.664375,73.878754,61.660595,8968532,44.1
27-01-2005,76.353752,76.387505,74.25,75.903755,63.350689,10620995,44.1
28-01-2005,76.275002,79.250626,75.9375,78.581253,65.585373,11217688,44.1
31-01-2005,79.886253,80.100006,77.850006,79.351875,66.228577,7071572,44.1
01-02-2005,79.875,80.398132,77.878128,78.328125,65.374123,6105537,44.1
02-02-2005,78.637505,79.3125,76.798126,77.197502,64.430473,8147057,44.1
03-02-2005,77.625,78.46875,76.725006,78.108749,65.19104,4797848,44.1
04-02-2005,81.900002,81.900002,78.1875,79.104378,66.022003,7533910,44.1
07-02-2005,79.650002,79.650002,77.175003,77.445,64.637054,5618524,44.1
08-02-2005,78.637505,78.637505,76.966881,77.979378,65.083054,2811795,44.1
09-02-2005,78.300003,78.412506,77.52375,77.799377,64.932816,3314239,44.1
10-02-2005,77.737503,77.737503,76.556252,77.045631,64.303734,2100755,44.1
11-02-2005,77.625,78.637505,76.950005,78.21563,65.280235,5108061,44.1
14-02-2005,80.431877,81.000008,79.087502,80.285629,67.007896,8880648,44.1
15-02-2005,80.212502,80.325005,79.087502,79.498131,66.350639,4105822,44.1
16-02-2005,79.891876,80.420631,78.924377,79.526253,66.3741,5733821,44.1
17-02-2005,79.087502,79.087502,77.65313,78.581253,65.585373,3836622,44.1
18-02-2005,78.075005,78.513756,77.433754,77.765625,64.904655,2913137,44.1
21-02-2005,77.72625,77.72625,76.050003,76.348129,63.721569,2405697,44.1
22-02-2005,77.0625,77.16375,75.712502,76.88813,64.172272,3112728,44.1
23-02-2005,76.387505,76.837502,75.825005,76.432503,63.792007,2843439,44.1
24-02-2005,76.837502,77.0625,75.9375,76.207504,63.604221,4078017,44.1
25-02-2005,76.516876,76.950005,74.463753,75.678757,63.16291,7767448,44.1
28-02-2005,76.950005,79.087502,75.150002,78.693756,65.679291,6671901,44.1
01-03-2005,78.75,78.75,75.723755,76.010628,63.439892,4228995,44.1
02-03-2005,76.5,76.837502,74.925003,75.498756,63.012676,4751626,44.1
03-03-2005,75.487503,78.975006,75.487503,78.361877,65.402306,6326453,44.1
04-03-2005,78.77813,81.450005,78.412506,81.00563,67.60881,10070595,44.1
07-03-2005,81.112503,81.66938,80.128128,81.20813,67.77784,3415475,44.1
08-03-2005,81.337502,82.681877,80.448753,80.713127,67.364693,7212666,44.1
09-03-2005,81.000008,81.658127,79.21125,80.274376,66.998497,5001377,44.1
10-03-2005,80.437508,80.437508,78.637505,79.256256,66.148758,2819493,44.1
11-03-2005,79.425003,80.212502,78.249374,78.480003,65.500877,4374115,44.1
14-03-2005,78.75,79.301254,77.456253,78.069382,65.158157,3934897,44.1
15-03-2005,77.962502,78.525002,76.629379,76.916252,64.19574,3231528,44.1
16-03-2005,76.950005,77.720627,76.511253,76.831879,64.125328,2761555,44.1
17-03-2005,76.5,77.484375,76.061256,76.438126,63.796684,2392088,44.1
18-03-2005,76.511253,77.506882,75.40313,77.175003,64.411728,3044835,44.1
21-03-2005,77.737503,78.024376,76.50563,77.045631,64.303734,1982115,44.1
22-03-2005,77.625,77.625,75.825005,76.072502,63.491528,2080639,44.1
23-03-2005,75.498756,76.100632,73.237503,73.766251,61.566696,3072915,44.1
24-03-2005,74.25,74.8125,72.02813,72.607506,60.599586,4075413,44.1
28-03-2005,73.125,74.548126,71.4375,72.360001,60.393013,5730559,44.1
29-03-2005,72.360001,72.691879,71.662506,72.135002,60.205235,7408524,44.1
30-03-2005,72.00563,72.680626,70.216881,70.914375,59.186466,6117048,44.1
31-03-2005,73.845001,77.175003,72,75.48188,62.998589,12100719,44.1
01-04-2005,75.825005,76.466255,73.597504,75.673126,63.15823,5183510,44.1
04-04-2005,75.881256,78.300003,74.8125,75.858749,63.313137,7263475,44.1
05-04-2005,75.375,75.915001,73.963127,74.317505,62.026787,3556302,44.1
06-04-2005,74.373756,75.791252,73.800003,75.313126,62.85775,2654959,44.1
07-04-2005,75.375,77.838753,75.375,76.516876,63.862419,11337928,44.1
08-04-2005,76.331253,76.331253,74.587502,74.835007,62.458702,3375484,44.1
11-04-2005,75.375,75.375,72.900002,73.41188,61.270947,2003182,44.1
12-04-2005,72.5625,73.78875,71.46563,72.652504,60.637154,7481270,44.1
13-04-2005,73.125,73.575005,72,72.613129,60.60429,4261395,44.1
15-04-2005,72,72,67.612503,68.130005,56.862598,8198684,44.1
18-04-2005,65.27813,72.225006,65.27813,66.909378,55.843822,5237750,44.1
19-04-2005,66.9375,68.388756,64.125,64.906876,54.172504,5730435,44.1
20-04-2005,65.25,67.387505,64.575005,66.931877,55.862598,6530221,44.1
21-04-2005,68.400002,68.400002,65.25,67.955627,56.717049,6233368,44.1
22-04-2005,72,75.915001,70.3125,72.444382,60.463448,25050763,44.1
25-04-2005,73.575005,74.666252,72.624374,72.95063,60.885971,9041012,44.1
26-04-2005,72.5625,73.310631,71.685005,71.994377,60.087864,5182941,44.1
27-04-2005,72,72.5625,70.672501,71.4375,59.623081,5530399,44.1
